,size,avg,pr,slope,interaction
106,500,10.0,0.2,0.13928547615404344,degree
107,500,10.0,0.2,0.19556134549536236,distance
108,500,10.0,0.30000000000000004,0.18040393880474057,random
109,500,10.0,0.30000000000000004,0.20419802512694996,ordered
110,500,10.0,0.30000000000000004,0.19451237038127617,degree
111,500,10.0,0.30000000000000004,0.25257063484576003,distance
112,500,10.0,0.4,0.27146950574479345,random
113,500,10.0,0.4,0.30273964927678837,ordered
114,500,10.0,0.4,0.26866059575839385,degree
115,500,10.0,0.4,0.31538838229567706,distance
116,500,10.0,0.5,0.2943915459835835,random
117,500,10.0,0.5,0.3384379553804915,ordered
118,500,10.0,0.5,0.29101057920649287,degree
119,500,10.0,0.5,0.33178368400684033,distance
120,500,10.0,0.0,0.007841197257546048,random
121,500,10.0,0.0,0.009333058462472399,ordered
122,500,10.0,0.0,0.007208592542417373,degree
123,500,10.0,0.0,0.009525338888666553,distance
124,500,10.0,0.1,0.0635489096880096,random
125,500,10.0,0.1,0.06482933472026535,ordered
126,500,10.0,0.1,0.06129896008824672,degree
127,500,10.0,0.1,0.09621009110180481,distance
128,500,10.0,0.2,0.14657961951876916,random
129,500,10.0,0.2,0.16301062889574014,ordered
130,500,10.0,0.2,0.1499543039173945,degree
131,500,10.0,0.2,0.21333538752828388,distance
132,500,10.0,0.30000000000000004,0.20144721829881546,random
133,500,10.0,0.30000000000000004,0.22710523645518443,ordered
134,500,10.0,0.30000000000000004,0.2044117735638761,degree
135,500,10.0,0.30000000000000004,0.2595379174614624,distance
136,500,10.0,0.4,0.23914259964019066,random
137,500,10.0,0.4,0.2678438615001667,ordered
138,500,10.0,0.4,0.2509300002378868,degree
139,500,10.0,0.4,0.30093562812123265,distance
140,500,10.0,0.5,0.3091159449947146,random
141,500,10.0,0.5,0.35499818058690635,ordered
142,500,10.0,0.5,0.31500009388477157,degree
143,500,10.0,0.5,0.34282622056132295,distance
144,500,12.0,0.0,0.00735591922851201,random
145,500,12.0,0.0,0.009121770403545627,ordered
146,500,12.0,0.0,0.00896553944827201,degree
147,500,12.0,0.0,0.008817575133256742,distance
148,500,12.0,0.1,0.08022904018777749,random
149,500,12.0,0.1,0.09115564534073597,ordered
150,500,12.0,0.1,0.08454798952216949,degree
