,size,r,avg,slope,interaction
182,500,0.1819456736586892,52,0.033155051120034154,degree
183,500,0.1819456736586892,52,0.03867444504340035,distance
184,500,0.18368682025524263,53,0.0349119712713024,random
185,500,0.18368682025524263,53,0.03548594543215717,ordered
186,500,0.18368682025524263,53,0.034845119551912176,degree
187,500,0.18368682025524263,53,0.04082445347118527,distance
188,500,0.185411616971131,54,0.03707177519869687,random
189,500,0.185411616971131,54,0.03791903593223742,ordered
190,500,0.185411616971131,54,0.036555570702993055,degree
191,500,0.185411616971131,54,0.04466737778329393,distance
192,500,0.18712051592547777,55,0.04180856560890676,random
193,500,0.18712051592547777,55,0.0428474918017151,ordered
194,500,0.18712051592547777,55,0.0418302967598187,degree
195,500,0.18712051592547777,55,0.04734112938216535,distance
196,500,0.18881394877652594,56,0.04166746578519045,random
197,500,0.18881394877652594,56,0.04271547959710947,ordered
198,500,0.18881394877652594,56,0.041757693513089354,degree
199,500,0.18881394877652594,56,0.047717675279565705,distance
200,500,0.19049232799499338,57,0.041990555624098834,random
201,500,0.19049232799499338,57,0.0428528640391,ordered
202,500,0.19049232799499338,57,0.041720976465310575,degree
203,500,0.19049232799499338,57,0.048408789623172487,distance
204,500,0.19215604803731712,58,0.043822214451270346,random
205,500,0.19215604803731712,58,0.04461634380415646,ordered
206,500,0.19215604803731712,58,0.043615638290780204,degree
207,500,0.19215604803731712,58,0.050743168855736466,distance
208,500,0.1938054864282415,59,0.044572260116315,random
209,500,0.1938054864282415,59,0.04541629451997771,ordered
210,500,0.1938054864282415,59,0.04528585471207082,degree
211,500,0.1938054864282415,59,0.05104331631742633,distance
