,size,avg,pc,cl,count_p,count_c,slope,interaction
113,500,7.932,0.2,0.12989483551887038,1709,275,0.308165554388569,ordered
114,500,7.932,0.2,0.12989483551887038,1709,275,0.27484257455940125,degree
115,500,7.932,0.2,0.12989483551887038,1709,275,0.24816855746114364,distance
116,500,7.932,0.4,0.22725728029744796,1355,629,0.21324522608411928,random
117,500,7.932,0.4,0.22725728029744796,1355,629,0.2489076821432651,ordered
118,500,7.932,0.4,0.22725728029744796,1355,629,0.2386482559207801,degree
119,500,7.932,0.4,0.22725728029744796,1355,629,0.22662104569277766,distance
120,500,7.928,0.6,0.30149597341568307,1069,915,0.20180862608946432,random
121,500,7.928,0.6,0.30149597341568307,1069,915,0.2390334411467408,ordered
122,500,7.928,0.6,0.30149597341568307,1069,915,0.21348705474222635,degree
123,500,7.928,0.6,0.30149597341568307,1069,915,0.21014246486666605,distance
124,500,7.92,0.8,0.38502289788391675,786,1198,0.16631282259925834,random
125,500,7.92,0.8,0.38502289788391675,786,1198,0.18637240903914684,ordered
126,500,7.92,0.8,0.38502289788391675,786,1198,0.17670962582222935,degree
127,500,7.92,0.8,0.38502289788391675,786,1198,0.16564773603667118,distance
128,500,7.92,0.85,0.39811566839130924,748,1236,0.12935689532110844,random
129,500,7.92,0.85,0.39811566839130924,748,1236,0.14802384969287344,ordered
130,500,7.92,0.85,0.39811566839130924,748,1236,0.139944275110246,degree
131,500,7.92,0.85,0.39811566839130924,748,1236,0.14270679333983388,distance
132,500,7.928,0.9,0.4495254337615405,633,1351,0.09670592825613655,random
133,500,7.928,0.9,0.4495254337615405,633,1351,0.11349416547263616,ordered
134,500,7.928,0.9,0.4495254337615405,633,1351,0.09562615656677947,degree
135,500,7.928,0.9,0.4495254337615405,633,1351,0.10694489321881248,distance
136,500,7.936,0.95,0.4779662246395638,570,1414,0.06920578778346911,random
137,500,7.936,0.95,0.4779662246395638,570,1414,0.07300352001076874,ordered
138,500,7.936,0.95,0.4779662246395638,570,1414,0.08083751286936602,degree
139,500,7.936,0.95,0.4779662246395638,570,1414,0.07616972779904199,distance
140,500,7.936,1,0.5208926833190571,504,1480,0.024353595556803213,random
141,500,7.936,1,0.5208926833190571,504,1480,0.027472974273141593,ordered
142,500,7.936,1,0.5208926833190571,504,1480,0.040848878028025094,degree
143,500,7.936,1,0.5208926833190571,504,1480,0.02344580611067359,distance
144,500,9.9,0.0,0.07923107631586473,2475,0,0.32291926853850883,random
145,500,9.9,0.0,0.07923107631586473,2475,0,0.38188447118097957,ordered
146,500,9.9,0.0,0.07923107631586473,2475,0,0.33276097285105316,degree
147,500,9.9,0.0,0.07923107631586473,2475,0,0.31090191574364345,distance
148,500,9.864,0.2,0.131917326366954,2054,421,0.3060953429113794,random
149,500,9.864,0.2,0.131917326366954,2054,421,0.3667264883207814,ordered
150,500,9.864,0.2,0.131917326366954,2054,421,0.3189220153051774,degree
151,500,9.864,0.2,0.131917326366954,2054,421,0.30069124959408455,distance
152,500,9.836,0.4,0.19887048354175638,1704,771,0.2841461935953529,random
153,500,9.836,0.4,0.19887048354175638,1704,771,0.335616265304682,ordered
154,500,9.836,0.4,0.19887048354175638,1704,771,0.3197124721843585,degree
155,500,9.836,0.4,0.19887048354175638,1704,771,0.28536403699609564,distance
156,500,9.88,0.6,0.2831442065928165,1253,1222,0.2614919314642089,random
157,500,9.88,0.6,0.2831442065928165,1253,1222,0.2987592769633182,ordered
158,500,9.88,0.6,0.2831442065928165,1253,1222,0.2726201271762684,degree
159,500,9.88,0.6,0.2831442065928165,1253,1222,0.2561123704279772,distance
160,500,9.872,0.8,0.33648336508070853,881,1594,0.18509160618977702,random
161,500,9.872,0.8,0.33648336508070853,881,1594,0.20675872561369774,ordered
162,500,9.872,0.8,0.33648336508070853,881,1594,0.21668720626972698,degree
163,500,9.872,0.8,0.33648336508070853,881,1594,0.202077547706151,distance
164,500,9.876,0.85,0.35551879695166605,822,1653,0.16786347717505293,random
165,500,9.876,0.85,0.35551879695166605,822,1653,0.18866559469247068,ordered
166,500,9.876,0.85,0.35551879695166605,822,1653,0.1698640510265033,degree
167,500,9.876,0.85,0.35551879695166605,822,1653,0.18182242027381967,distance
168,500,9.892,0.9,0.38042744921474075,707,1768,0.12925939043710258,random
169,500,9.892,0.9,0.38042744921474075,707,1768,0.1449069560895203,ordered
170,500,9.892,0.9,0.38042744921474075,707,1768,0.14328893860542866,degree
171,500,9.892,0.9,0.38042744921474075,707,1768,0.14666943683416397,distance
172,500,9.892,0.95,0.4093542751576457,602,1873,0.11264346656111182,random
173,500,9.892,0.95,0.4093542751576457,602,1873,0.12774812761637358,ordered
174,500,9.892,0.95,0.4093542751576457,602,1873,0.11502093050443687,degree
175,500,9.892,0.95,0.4093542751576457,602,1873,0.12429351663729463,distance
176,500,9.892,1,0.4306622344255746,509,1966,0.06502447313442922,random
177,500,9.892,1,0.4306622344255746,509,1966,0.07808515958999904,ordered
178,500,9.892,1,0.4306622344255746,509,1966,0.08582221547746682,degree
179,500,9.892,1,0.4306622344255746,509,1966,0.06815915940577326,distance
180,500,9.9,0.0,0.05904091407379606,2475,0,0.3307399926579334,random
181,500,9.9,0.0,0.05904091407379606,2475,0,0.385718968365684,ordered
182,500,9.9,0.0,0.05904091407379606,2475,0,0.3422329048290874,degree
183,500,9.9,0.0,0.05904091407379606,2475,0,0.31795662161764926,distance
184,500,9.884,0.2,0.11967138428056406,2126,349,0.307978370223394,random
185,500,9.884,0.2,0.11967138428056406,2126,349,0.36083863749238887,ordered
186,500,9.884,0.2,0.11967138428056406,2126,349,0.32829640720810926,degree
187,500,9.884,0.2,0.11967138428056406,2126,349,0.28836791182314114,distance
188,500,9.852,0.4,0.20990399501613327,1684,791,0.28576601623821823,random
189,500,9.852,0.4,0.20990399501613327,1684,791,0.3356757306556618,ordered
190,500,9.852,0.4,0.20990399501613327,1684,791,0.3101388328367626,degree
191,500,9.852,0.4,0.20990399501613327,1684,791,0.2836834138583263,distance
192,500,9.86,0.6,0.2524713985685531,1301,1174,0.24768910930686183,random
193,500,9.86,0.6,0.2524713985685531,1301,1174,0.29241790207469404,ordered
194,500,9.86,0.6,0.2524713985685531,1301,1174,0.2704536010352238,degree
195,500,9.86,0.6,0.2524713985685531,1301,1174,0.2574650945742313,distance
196,500,9.868,0.8,0.3322816869808842,907,1568,0.205566321020273,random
197,500,9.868,0.8,0.3322816869808842,907,1568,0.2275085458811303,ordered
198,500,9.868,0.8,0.3322816869808842,907,1568,0.2176145799246696,degree
199,500,9.868,0.8,0.3322816869808842,907,1568,0.21432567499139238,distance
200,500,9.872,0.85,0.35758682705911393,787,1688,0.15737530242700076,random
201,500,9.872,0.85,0.35758682705911393,787,1688,0.17797818878378738,ordered
202,500,9.872,0.85,0.35758682705911393,787,1688,0.1754814492400912,degree
203,500,9.872,0.85,0.35758682705911393,787,1688,0.16614297790507956,distance
204,500,9.884,0.9,0.3751069942983713,719,1756,0.1640634963149969,random
205,500,9.884,0.9,0.3751069942983713,719,1756,0.18784989578813152,ordered
206,500,9.884,0.9,0.3751069942983713,719,1756,0.1880225770117176,degree
207,500,9.884,0.9,0.3751069942983713,719,1756,0.1775027002856332,distance
208,500,9.88,0.95,0.4071336540276826,588,1887,0.08277593444481575,random
209,500,9.88,0.95,0.4071336540276826,588,1887,0.09141921788644353,ordered
210,500,9.88,0.95,0.4071336540276826,588,1887,0.10693700112405383,degree
211,500,9.88,0.95,0.4071336540276826,588,1887,0.10367671755107569,distance
212,500,9.9,1,0.45605964878376026,509,1966,0.05082548153904535,random
213,500,9.9,1,0.45605964878376026,509,1966,0.05332759919057023,ordered
214,500,9.9,1,0.45605964878376026,509,1966,0.06381826989239965,degree
215,500,9.9,1,0.45605964878376026,509,1966,0.0506189636240704,distance
216,500,11.856,0.0,0.06953399130220347,2964,0,0.3575641367791987,random
217,500,11.856,0.0,0.06953399130220347,2964,0,0.41302398099189014,ordered
218,500,11.856,0.0,0.06953399130220347,2964,0,0.3530386285318082,degree
219,500,11.856,0.0,0.06953399130220347,2964,0,0.3417840482723576,distance
220,500,11.804,0.2,0.1468106734386069,2490,474,0.3457728193484312,random
221,500,11.804,0.2,0.1468106734386069,2490,474,0.39631078843457745,ordered
222,500,11.804,0.2,0.1468106734386069,2490,474,0.351191507637029,degree
223,500,11.804,0.2,0.1468106734386069,2490,474,0.32512419080299754,distance
224,500,11.816,0.4,0.19035690318912624,1996,968,0.3354730125107427,random
225,500,11.816,0.4,0.19035690318912624,1996,968,0.3843057557479729,ordered
226,500,11.816,0.4,0.19035690318912624,1996,968,0.34206200182857804,degree
227,500,11.816,0.4,0.19035690318912624,1996,968,0.31722407753443727,distance
228,500,11.808,0.6,0.2371639495365842,1515,1449,0.30769107440116583,random
229,500,11.808,0.6,0.2371639495365842,1515,1449,0.34853132368468887,ordered
230,500,11.808,0.6,0.2371639495365842,1515,1449,0.3234167344705809,degree
231,500,11.808,0.6,0.2371639495365842,1515,1449,0.2992604569741104,distance
232,500,11.824,0.8,0.29362715166814757,1017,1947,0.24242796309311704,random
233,500,11.824,0.8,0.29362715166814757,1017,1947,0.27212203145248354,ordered
234,500,11.824,0.8,0.29362715166814757,1017,1947,0.25694523836631106,degree
235,500,11.824,0.8,0.29362715166814757,1017,1947,0.26409016414060654,distance
236,500,11.816,0.85,0.3311795626484894,873,2091,0.21658686688607295,random
237,500,11.816,0.85,0.3311795626484894,873,2091,0.23094534441868225,ordered
238,500,11.816,0.85,0.3311795626484894,873,2091,0.23383369645528984,degree
239,500,11.816,0.85,0.3311795626484894,873,2091,0.2346718296278058,distance
240,500,11.848,0.9,0.340485702686886,737,2227,0.19569644422334892,random
241,500,11.848,0.9,0.340485702686886,737,2227,0.2212220796203324,ordered
242,500,11.848,0.9,0.340485702686886,737,2227,0.2257220359106719,degree
243,500,11.848,0.9,0.340485702686886,737,2227,0.2155863632908231,distance
244,500,11.84,0.95,0.3893476721389278,633,2331,0.1322416480784842,random
245,500,11.84,0.95,0.3893476721389278,633,2331,0.14577433930612135,ordered
246,500,11.84,0.95,0.3893476721389278,633,2331,0.14902090460719858,degree
247,500,11.84,0.95,0.3893476721389278,633,2331,0.14026833775081504,distance
248,500,11.84,1,0.40701185306276666,516,2448,0.07379106818911886,random
249,500,11.84,1,0.40701185306276666,516,2448,0.07428832356135633,ordered
250,500,11.84,1,0.40701185306276666,516,2448,0.08462656349761502,degree
251,500,11.84,1,0.40701185306276666,516,2448,0.06090491015515124,distance
252,500,11.856,0.0,0.07427212797432031,2964,0,0.3622370972203919,random
253,500,11.856,0.0,0.07427212797432031,2964,0,0.41957381957381257,ordered
254,500,11.856,0.0,0.07427212797432031,2964,0,0.3584220683245074,degree
255,500,11.856,0.0,0.07427212797432031,2964,0,0.34842229258722934,distance
256,500,11.832,0.2,0.12467656677532661,2494,470,0.35024507986417064,random
257,500,11.832,0.2,0.12467656677532661,2494,470,0.39748949826827007,ordered
258,500,11.832,0.2,0.12467656677532661,2494,470,0.3542965635252697,degree
259,500,11.832,0.2,0.12467656677532661,2494,470,0.33116613212795326,distance
260,500,11.788,0.4,0.20446411714249502,1972,992,0.33310504499384586,random
261,500,11.788,0.4,0.20446411714249502,1972,992,0.368418504850083,ordered
262,500,11.788,0.4,0.20446411714249502,1972,992,0.3409738928396546,degree
263,500,11.788,0.4,0.20446411714249502,1972,992,0.31466417732907026,distance
264,500,11.784,0.6,0.24575516270800982,1469,1495,0.30907797906777856,random
265,500,11.784,0.6,0.24575516270800982,1469,1495,0.3455937518193817,ordered
266,500,11.784,0.6,0.24575516270800982,1469,1495,0.32136791958108996,degree
267,500,11.784,0.6,0.24575516270800982,1469,1495,0.30349942760404186,distance
268,500,11.804,0.8,0.3001764196816787,992,1972,0.23061858521399695,random
269,500,11.804,0.8,0.3001764196816787,992,1972,0.2647988837714935,ordered
270,500,11.804,0.8,0.3001764196816787,992,1972,0.24207241058683474,degree
271,500,11.804,0.8,0.3001764196816787,992,1972,0.25518356398467934,distance
272,500,11.828,0.85,0.3269709322140683,848,2116,0.2269664364400629,random
273,500,11.828,0.85,0.3269709322140683,848,2116,0.2540337999269139,ordered
274,500,11.828,0.85,0.3269709322140683,848,2116,0.23864153134087118,degree
275,500,11.828,0.85,0.3269709322140683,848,2116,0.2444424618432619,distance
276,500,11.84,0.9,0.3490687660931114,742,2222,0.1583631868568006,random
277,500,11.84,0.9,0.3490687660931114,742,2222,0.1844884720711296,ordered
278,500,11.84,0.9,0.3490687660931114,742,2222,0.17456884337749923,degree
279,500,11.84,0.9,0.3490687660931114,742,2222,0.1731182185606138,distance
280,500,11.84,0.95,0.37586965513179527,635,2329,0.12534501226528666,random
281,500,11.84,0.95,0.37586965513179527,635,2329,0.13604413134403473,ordered
282,500,11.84,0.95,0.37586965513179527,635,2329,0.12008306251587172,degree
283,500,11.84,0.95,0.37586965513179527,635,2329,0.13880963728039525,distance
284,500,11.844,1,0.4065319111684925,513,2451,0.04738491445500526,random
285,500,11.844,1,0.4065319111684925,513,2451,0.05608754778673296,ordered
286,500,11.844,1,0.4065319111684925,513,2451,0.06637118299421851,degree
287,500,11.844,1,0.4065319111684925,513,2451,0.055774612796553644,distance
288,500,13.804,0.0,0.08018824538955642,3451,0,0.38441376493917223,random
289,500,13.804,0.0,0.08018824538955642,3451,0,0.43491051809521747,ordered
290,500,13.804,0.0,0.08018824538955642,3451,0,0.3583579450769881,degree
291,500,13.804,0.0,0.08018824538955642,3451,0,0.3769232629159022,distance
292,500,13.748,0.2,0.13365523828044282,2871,580,0.36631536669901227,random
293,500,13.748,0.2,0.13365523828044282,2871,580,0.4174799916979629,ordered
294,500,13.748,0.2,0.13365523828044282,2871,580,0.35463921571016105,degree
295,500,13.748,0.2,0.13365523828044282,2871,580,0.35802285939094947,distance
296,500,13.696,0.4,0.19377239305330493,2296,1155,0.34687298993653815,random
297,500,13.696,0.4,0.19377239305330493,2296,1155,0.3930801204959442,ordered
298,500,13.696,0.4,0.19377239305330493,2296,1155,0.35683568474501826,degree
299,500,13.696,0.4,0.19377239305330493,2296,1155,0.3432672683138257,distance
300,500,13.752,0.6,0.2178404387044312,1722,1729,0.3436172982837128,random
301,500,13.752,0.6,0.2178404387044312,1722,1729,0.38274864921634444,ordered
302,500,13.752,0.6,0.2178404387044312,1722,1729,0.3509400956579499,degree
303,500,13.752,0.6,0.2178404387044312,1722,1729,0.3373678407704964,distance
304,500,13.748,0.8,0.28079960318978575,1070,2381,0.28315302887483995,random
305,500,13.748,0.8,0.28079960318978575,1070,2381,0.31469857546256735,ordered
306,500,13.748,0.8,0.28079960318978575,1070,2381,0.2826442403021078,degree
307,500,13.748,0.8,0.28079960318978575,1070,2381,0.29931227564025376,distance
308,500,13.76,0.85,0.2888463511822863,955,2496,0.266018023658967,random
309,500,13.76,0.85,0.2888463511822863,955,2496,0.2667111244496891,ordered
310,500,13.76,0.85,0.2888463511822863,955,2496,0.27800355490903383,degree
