,size,avg,pc,cl,count_p,count_c,slope
848,435.0,35.89885057471265,0.2,0.21665937312741135,6422.0,1482.0,0.43890252390508033
849,435.0,35.742528735632185,0.4,0.25246590264694824,4887.0,3017.0,0.42983553276036696
850,435.0,35.751724137931035,0.6,0.23630824462787256,3479.0,4425.0,0.43751653269560514
851,435.0,35.889655172413796,0.8,0.23936553640487634,2055.0,5849.0,0.4438232682649068
852,435.0,36.0,0.85,0.2513458743712694,1697.0,6207.0,0.43124909132746564
853,435.0,36.15172413793103,0.9,0.2751278163141908,1312.0,6592.0,0.4245968412450066
854,435.0,36.239080459770115,0.95,0.3328347740709833,989.0,6915.0,0.35554811393076247
855,435.0,36.257471264367815,1.0,0.5253408032985691,649.0,7255.0,0.13452249557853202
856,945.0,31.45820105820106,0.0,0.08482801531901439,14864.0,0.0,0.43688759904769314
857,945.0,31.257142857142856,0.2,0.12108305816851866,12051.0,2813.0,0.42602645096189473
858,945.0,31.159788359788358,0.4,0.14196310750572794,9191.0,5673.0,0.43274302856400215
859,945.0,31.214814814814815,0.6,0.15042817195613342,6573.0,8291.0,0.42007551284605904
860,945.0,31.28253968253968,0.8,0.1662757394931076,3788.0,11076.0,0.42812944582559354
861,945.0,31.303703703703704,0.85,0.17893449646800688,3099.0,11765.0,0.4208604844995333
862,945.0,31.358730158730157,0.9,0.19593800884412915,2458.0,12406.0,0.38277879089646566
863,945.0,31.415873015873014,0.95,0.22912200690262993,1737.0,13127.0,0.3066400529748684
864,945.0,31.45820105820106,1.0,0.2993705855978789,1063.0,13801.0,0.09619993441869007
865,555.0,54.96936936936937,0.0,0.17826368507340407,15254.0,0.0,0.4592483454469284
866,555.0,54.16216216216216,0.2,0.23224662936466017,12254.0,3000.0,0.4451373451858641
867,555.0,53.744144144144144,0.4,0.25015619107508813,9417.0,5837.0,0.43992150933934226
868,555.0,53.93873873873874,0.6,0.22875185494083966,6534.0,8720.0,0.4573632392409495
869,555.0,54.475675675675674,0.8,0.2186156285578363,3795.0,11459.0,0.4615901257748408
870,555.0,54.49369369369369,0.85,0.23071740756569842,3051.0,12203.0,0.4564491531625031
871,555.0,54.68828828828829,0.9,0.2606530477535824,2370.0,12884.0,0.4422102184279475
872,555.0,54.87567567567567,0.95,0.31327272724583327,1644.0,13610.0,0.43680897367140326
873,555.0,54.95135135135135,1.0,0.48304584487279556,1027.0,14227.0,0.15212991331500833
874,889.0,9.943757030371204,0.0,0.04297377212978312,4420.0,0.0,0.3276231103522337
875,889.0,9.930258717660292,0.2,0.11104398969538604,3732.0,688.0,0.3066930086065006
876,889.0,9.907761529808774,0.4,0.1791601700190588,3071.0,1349.0,0.29629796501113626
877,889.0,9.919010123734534,0.6,0.24293804783865147,2326.0,2094.0,0.26114605802985313
878,889.0,9.919010123734534,0.8,0.3270330755084248,1594.0,2826.0,0.19837348499691873
879,889.0,9.930258717660292,0.85,0.335766423597746,1435.0,2985.0,0.17187063159921398
880,889.0,9.923509561304837,0.9,0.3611427224202287,1251.0,3169.0,0.14426370007597658
881,889.0,9.9392575928009,0.95,0.40994546699741463,1062.0,3358.0,0.08905862260669983
882,889.0,9.9392575928009,1.0,0.4248312027011036,898.0,3522.0,0.046946612333023295
883,312.0,19.358974358974358,0.0,0.13837187290225544,3020.0,0.0,0.41193172837930286
884,312.0,19.173076923076923,0.2,0.1921280731224125,2470.0,550.0,0.4180767670861469
885,312.0,19.19871794871795,0.4,0.21847601235776423,1944.0,1076.0,0.4031454934087263
886,312.0,19.076923076923077,0.6,0.22996749362593577,1378.0,1642.0,0.39774056727175205
887,312.0,19.237179487179485,0.8,0.2575217264712579,914.0,2106.0,0.37378734470665476
888,312.0,19.224358974358974,0.85,0.27531050664360546,775.0,2245.0,0.3521979985210925
889,312.0,19.28205128205128,0.9,0.29282497842636207,608.0,2412.0,0.2660401945506249
890,312.0,19.30128205128205,0.95,0.3732395590410217,480.0,2540.0,0.21553558159804234
891,312.0,19.326923076923077,1.0,0.4532645916552504,362.0,2658.0,0.07908817284522827
892,699.0,46.351931330472105,0.0,0.14000733748713165,16200.0,0.0,0.4498656543977592
893,699.0,45.85407725321888,0.2,0.18441732050854687,13069.0,3131.0,0.4285511124767102
894,699.0,45.55937052932761,0.4,0.21434564420786772,9952.0,6248.0,0.44106127206698903
895,699.0,45.610872675250356,0.6,0.2003964330035615,6918.0,9282.0,0.44321865198237403
896,699.0,45.92560801144492,0.8,0.18796538324784137,4006.0,12194.0,0.4495538177812032
897,699.0,46.04005722460658,0.85,0.1943630356364374,3199.0,13001.0,0.44812495503816974
898,699.0,46.1173104434907,0.9,0.2176068218149787,2466.0,13734.0,0.4583123539961833
899,699.0,46.22889842632332,0.95,0.2739914052731769,1755.0,14445.0,0.39999935011880094
900,699.0,46.320457796852644,1.0,0.5086184550165389,1028.0,15172.0,0.11262999304961019
901,668.0,25.494011976047904,0.0,0.09135121418134191,8515.0,0.0,0.42661725162154224
902,668.0,25.311377245508982,0.2,0.13750251767219332,6953.0,1562.0,0.41793294468175973
903,668.0,25.24550898203593,0.4,0.16577654226919833,5400.0,3115.0,0.42096208307636196
904,668.0,25.251497005988025,0.6,0.17004949728292276,3859.0,4656.0,0.41950521526707363
905,668.0,25.395209580838323,0.8,0.19684341574462658,2299.0,6216.0,0.4090129382836528
906,668.0,25.404191616766468,0.85,0.20475074055951542,1881.0,6634.0,0.40789356296206875
907,668.0,25.422155688622755,0.9,0.22614828257819247,1558.0,6957.0,0.37816349609319133
908,668.0,25.47005988023952,0.95,0.2858055811842591,1101.0,7414.0,0.26691431903567914
909,668.0,25.491017964071855,1.0,0.3811163940156575,750.0,7765.0,0.04167566346374836
910,442.0,23.34841628959276,0.0,0.12077579568584594,5160.0,0.0,0.4251244293155441
911,442.0,23.144796380090497,0.2,0.15898804042204076,4207.0,953.0,0.4163502819407672
912,442.0,22.95475113122172,0.4,0.1962176025648524,3303.0,1857.0,0.4124574777495319
913,442.0,23.149321266968325,0.6,0.1995405530930441,2337.0,2823.0,0.4123104309530719
914,442.0,23.235294117647058,0.8,0.2262745855482263,1383.0,3777.0,0.4124052700824391
915,442.0,23.248868778280542,0.85,0.23871107442385464,1176.0,3984.0,0.4036213524657152
916,442.0,23.248868778280542,0.9,0.26233771786016014,987.0,4173.0,0.3645251902656471
917,442.0,23.312217194570135,0.95,0.3188713575318463,732.0,4428.0,0.2076957624454682
918,442.0,23.339366515837103,1.0,0.37795253021550373,509.0,4651.0,0.049344855438841914
919,173.0,22.335260115606935,0.0,0.22131593014939657,1932.0,0.0,0.44611881643122403
920,173.0,21.942196531791907,0.2,0.2657102881566399,1570.0,362.0,0.42922743095013616
921,173.0,21.91907514450867,0.4,0.27686280103100613,1236.0,696.0,0.42633367890487134
922,173.0,21.942196531791907,0.6,0.28826991246013367,903.0,1029.0,0.43177714265483225
923,173.0,22.15028901734104,0.8,0.31088809998518285,562.0,1370.0,0.41412906447474873
924,173.0,22.196531791907514,0.85,0.33581997950096015,461.0,1471.0,0.41099708776795757
925,173.0,22.173410404624278,0.9,0.3751181129621211,382.0,1550.0,0.36102724200246156
926,173.0,22.23121387283237,0.95,0.3929697143987486,329.0,1603.0,0.36401075912148145
927,173.0,22.3121387283237,1.0,0.5033159529246592,246.0,1686.0,0.11355860012848495
928,348.0,11.793103448275861,0.0,0.09159967097258619,2052.0,0.0,0.36320212404368457
929,348.0,11.735632183908047,0.2,0.16807666564667811,1722.0,330.0,0.34021793367416864
930,348.0,11.724137931034482,0.4,0.22952630308179933,1393.0,659.0,0.3386971011220721
931,348.0,11.718390804597702,0.6,0.2477079262391639,1028.0,1024.0,0.3024540510349153
932,348.0,11.741379310344827,0.8,0.30852469730897275,715.0,1337.0,0.23532382620085665
933,348.0,11.741379310344827,0.85,0.33528938039438066,592.0,1460.0,0.23310543250316304
934,348.0,11.729885057471265,0.9,0.36873520660604425,539.0,1513.0,0.16527112038773392
935,348.0,11.758620689655173,0.95,0.356139744993166,446.0,1606.0,0.16284574322175527
936,348.0,11.781609195402298,1.0,0.42481288287088387,363.0,1689.0,0.055630200951126405
937,613.0,23.530179445350733,0.0,0.09587853857213781,7212.0,0.0,0.42738742607901586
938,613.0,23.37030995106036,0.2,0.13581677166732134,5941.0,1271.0,0.41858279088599604
939,613.0,23.30179445350734,0.4,0.16407474734106983,4565.0,2647.0,0.41507883914000443
940,613.0,23.35725938009788,0.6,0.17754688404665803,3302.0,3910.0,0.4225619600916574
