,size,avg,pr,slope
92,162.0,40.0,0.30000000000000004,0.4149949789920906
93,162.0,40.0,0.4,0.487261711473889
94,162.0,40.0,0.5,0.48782975457844147
95,162.0,40.0,0.6000000000000001,0.5030154665467557
96,162.0,40.0,0.7000000000000001,0.4869281347254872
97,162.0,40.0,0.8,0.5070587420716841
98,162.0,40.0,0.9,0.4883784339110008
99,162.0,40.0,1.0,0.5019632479072991
100,713.0,40.0,0.0,0.013827347837433713
101,713.0,40.0,0.1,0.11385664888907628
102,713.0,40.0,0.2,0.20687602373218525
103,713.0,40.0,0.30000000000000004,0.30074988496457233
104,713.0,40.0,0.4,0.4045739462641131
105,713.0,40.0,0.5,0.464611286285583
106,713.0,40.0,0.6000000000000001,0.487035948845151
107,713.0,40.0,0.7000000000000001,0.48799276962461624
108,713.0,40.0,0.8,0.4882306077381324
109,713.0,40.0,0.9,0.4819370393613404
110,713.0,40.0,1.0,0.4848085514473082
111,879.0,42.0,0.0,0.011474425860869261
112,879.0,42.0,0.1,0.10468450250835033
113,879.0,42.0,0.2,0.20600691570088875
114,879.0,42.0,0.30000000000000004,0.3011630929973171
115,879.0,42.0,0.4,0.3977640869406172
116,879.0,42.0,0.5,0.47156476896926847
117,879.0,42.0,0.6000000000000001,0.4911099103512354
118,879.0,42.0,0.7000000000000001,0.47987222103741045
119,879.0,42.0,0.8,0.4882543672969376
120,879.0,42.0,0.9,0.48770372393140693
121,879.0,42.0,1.0,0.49363153239557567
122,254.0,20.0,0.0,0.02024821354575882
123,254.0,20.0,0.1,0.10549074277302817
124,254.0,20.0,0.2,0.19107309903057412
125,254.0,20.0,0.30000000000000004,0.2737919121636999
126,254.0,20.0,0.4,0.3486928004378392
127,254.0,20.0,0.5,0.4442659604266712
128,254.0,20.0,0.6000000000000001,0.4574950800690246
129,254.0,20.0,0.7000000000000001,0.4725958023198083
130,254.0,20.0,0.8,0.47456262356643764
131,254.0,20.0,0.9,0.48294838326075606
132,254.0,20.0,1.0,0.4803052759180426
133,795.0,22.0,0.0,0.011728740111071088
134,795.0,22.0,0.1,0.08906968205363264
135,795.0,22.0,0.2,0.1792758921641601
136,795.0,22.0,0.30000000000000004,0.265004695695705
137,795.0,22.0,0.4,0.34215177019260407
138,795.0,22.0,0.5,0.4113023863312696
139,795.0,22.0,0.6000000000000001,0.4585378775446388
140,795.0,22.0,0.7000000000000001,0.4757489282203779
141,795.0,22.0,0.8,0.4758212892978211
142,795.0,22.0,0.9,0.4669459067914061
143,795.0,22.0,1.0,0.47321758883575865
144,919.0,32.0,0.0,0.009637517108427262
145,919.0,32.0,0.1,0.09825210034229455
146,919.0,32.0,0.2,0.19699782400302981
147,919.0,32.0,0.30000000000000004,0.2870366475825469
148,919.0,32.0,0.4,0.3808294368868545
