,size,p,avg,slope
150,384.0,0.10517716435489427,39.645833333333336,0.49638630884593693
151,156.0,0.1715019179824007,26.307692307692307,0.4796642155467431
152,663.0,0.04636719279576646,30.485671191553543,0.48597780265305957
153,626.0,0.04716233427529083,29.268370607028753,0.4757878364156879
154,180.0,0.15260355374566,27.42222222222222,0.4728620839030596
155,986.0,0.009450975495192842,9.397565922920892,0.22827782071884312
156,255.0,0.106535848493902,26.901960784313726,0.47691568862552075
157,382.0,0.06629862820550798,25.361256544502616,0.47995403503748635
158,710.0,0.06586182952606913,46.99718309859155,0.4895506457222911
159,877.0,0.06986751203308769,61.70809578107183,0.49385919557364855
160,982.0,0.06877396728374287,67.15885947046843,0.48807350592479637
161,939.0,0.029437566332571725,27.79765708200213,0.4685423716536456
162,466.0,0.08282685202031148,38.55793991416309,0.48931865214036396
163,146.0,0.12105751586610297,17.315068493150687,0.4677675771202689
164,791.0,0.07569193230599192,59.142857142857146,0.49438590096308344
165,646.0,0.010580855013720681,6.631578947368421,0.19681850257792843
166,637.0,0.09715593653422037,62.17896389324961,0.48795585189347
167,830.0,0.03076298860658782,25.387951807228916,0.4593129623515157
168,610.0,0.07111082060993262,43.514754098360655,0.49153277592878997
169,539.0,0.1009817451671385,55.0278293135436,0.49496514443461476
170,648.0,0.05883191491028832,37.72530864197531,0.4751485750113285
171,915.0,0.016363945240195354,15.031693989071039,0.4248054990745974
172,194.0,0.2174836002556059,42.329896907216494,0.5103325140555586
173,295.0,0.17589138347852679,51.6,0.4971640901103706
174,853.0,0.07286464398607441,61.957796014067995,0.4945592878453505
175,367.0,0.1453043322582458,53.950953678474114,0.49794445344726646
176,425.0,0.01486006775259452,6.823529411764706,0.23067804111206808
177,878.0,0.0684387407860887,60.44419134396355,0.49293555375350645
178,479.0,0.08135096036460182,38.78496868475992,0.4794145469218577
179,824.0,0.07122258645603,58.77427184466019,0.49035331858713915
180,464.0,0.13021632796153493,60.297413793103445,0.5040539414748824
181,351.0,0.04817863948757878,17.01994301994302,0.4399159498798637
182,219.0,0.10826886106941308,23.98173515981735,0.4797366739231076
183,757.0,0.057150682370237724,43.08586525759577,0.4899682410930694
184,604.0,0.01515685770235001,9.301324503311259,0.319435633089188
185,513.0,0.04622972301942265,23.91812865497076,0.4637049390041207
186,212.0,0.24457143088139924,50.660377358490564,0.5008766423879462
187,214.0,0.14019207126029848,30.672897196261683,0.4822618888235417
188,408.0,0.03333386750670821,13.46078431372549,0.4221198182362008
189,889.0,0.012605504898357538,11.16310461192351,0.35627009306861146
190,813.0,0.05399261847512998,43.51783517835178,0.4879062295057316
191,424.0,0.049647776732215224,21.65566037735849,0.462803379922356
192,221.0,0.12651352459461762,27.429864253393664,0.4866755484231966
193,762.0,0.04674276615566096,35.72178477690289,0.48493587951171674
194,799.0,0.013532994532548102,10.933667083854818,0.37836682369351177
195,918.0,0.05002429488974772,46.028322440087145,0.4878383830499559
196,968.0,0.008057030798077179,7.869834710743802,0.27327586288252853
197,628.0,0.05178269274238204,32.01910828025478,0.4732718085158284
198,829.0,0.03293701983534336,27.56574185765983,0.47622774634387444
199,485.0,0.05942746765201548,28.263917525773195,0.4752175400502125
200,562.0,0.028760758331015622,16.128113879003557,0.4392413931957628
201,953.0,0.06245030757195212,59.09758656873033,0.48818951445075776
202,613.0,0.02842191340574645,17.592169657422513,0.4383317664141734
203,945.0,0.028004937015465525,26.607407407407408,0.48036103389994694
204,403.0,0.04541678433603416,18.267990074441688,0.4549912983488002
205,864.0,0.07713085004159966,66.92129629629629,0.4959849954535283
206,146.0,0.049993215986374434,7.232876712328767,0.28749696300773947
207,820.0,0.06083332731482167,49.82439024390244,0.4923969858314452
208,805.0,0.05497119849308386,43.7416149068323,0.4867858854066963
209,619.0,0.04166007192925883,25.24394184168013,0.46746201016889166
210,845.0,0.042408791052877245,35.66863905325444,0.47926002651303856
211,810.0,0.03455263138992218,27.9679012345679,0.47727299276129276
212,837.0,0.0718262137983963,61.12305854241338,0.49176538891547866
